,,,,,,,,,,,,FROM EBIRD/HISTORICAL WEATHER DATA,Northernly distribution (place),,,,,,,,,,,,,,,Southernly distribution (place),,,,,,,,,,,,,,,Date of arrival to northernly distribution,,,,,Mean temp (F) at arrival to northernly distribution,,,,,Min temp (F) at arrival to northernly distribution,,,,,Max temp (F) at arrival to northernly distribution,,,,,Date of arrival to southernly distribution,,,,,Mean temp at arrival to southernly distribution,,,,,Min temp at arrival to southernly distribution,,,,,Max temp at arrival to southernly distribution,,,,,Max temp while in northern distribution,,,,,Max temp while in southern distribution,,,,,Min temp while in northern distribution,,,,,Min temp while in southern distribution,,,,,Mean temp while in northern distribution,,,,,Mean temp while in southern distribution,,,,
Phoeniculus_purpureus,green woodhoopoe,79.7,36,23.1,"Williams, du Plessis, Siegfried 1991",Males,Bucerotiformes,Phoeniculidae,Migratory,Non,,** same data for male and females,"Mboro, Senegal (north of Thies)",,,"Gamadji Saré, Senegal",,,"Centre Faragu, Senegal (north of Fathala Wildlife Reserve)",,,"Toubab Dialao, Senegal",,,"Diofior, Senegal",,,"Kranshoek, South Africa (east of Knysa)",,,"Nature's Valley, South Africa (South of Garden Route National Park)",,,"Nature's Valley, South Africa (South of Garden Route National Park)",,,"Knysna, South Africa",,,"Kenton-On-Sea, Eastern Cape, South Africa",,,October 20,January 5,December 31,March 26,December 31,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,September 23,January 2,January 4,December 21,December 25,n/a,n/a,n/a,n/a,69.08,n/a,n/a,n/a,n/a,64,n/a,n/a,n/a,n/a,75,99,n/a,n/a,99,n/a,n/a,n/a,n/a,n/a,95,63,n/a,n/a,66,n/a,n/a,n/a,n/a,n/a,52,78.8,n/a,n/a,75.83,n/a,n/a,n/a,n/a,n/a,59.99
Phoeniculus_purpureus,green woodhoopoe,72.19,35.8,24.2,"Williams, du Plessis, Siegfried 1991",Females,Bucerotiformes,Phoeniculidae,Migratory,Non,,,"Mboro, Senegal (north of Thies)",,,"Gamadji Saré, Senegal",,,"Centre Faragu, Senegal (north of Fathala Wildlife Reserve)",,,"Toubab Dialao, Senegal",,,"Diofior, Senegal",,,"Kranshoek, South Africa (east of Knysa)",,,"Nature's Valley, South Africa (South of Garden Route National Park)",,,"Nature's Valley, South Africa (South of Garden Route National Park)",,,"Knysna, South Africa",,,"Kenton-On-Sea, Eastern Cape, South Africa",,,October 20,January 5,December 31,March 26,December 31,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,September 23,January 2,January 4,December 21,December 25,n/a,n/a,n/a,n/a,69.08,n/a,n/a,n/a,n/a,64,n/a,n/a,n/a,n/a,75,99,n/a,n/a,99,n/a,n/a,n/a,n/a,n/a,95,63,n/a,n/a,66,n/a,n/a,n/a,n/a,n/a,52,78.8,n/a,n/a,75.83,n/a,n/a,n/a,n/a,n/a,59.99
Porphyrio_hochstetteri,Takahe,2758.3,31,9,"McNab and Ellis, 2006",,Gruiformes,Rallidae,Resident,Non,,,"Tiritiri Matangi, Rodney District, New Zealand",,,"Tawharanui Regional Park, Rodney District, New Zealand",,,"Tawharanui Regional Park, Rodney District, New Zealand",,,"Tawharanui Regional Park, Rodney District, New Zealand",,,"Tawharanui Regional Park, Rodney District, New Zealand",,,"Orokonui Ecosanctuary, Dunedin City, New Zealand",,,"Orokonui Ecosanctuary, Dunedin City, New Zealand",,,"Orokonui Ecosanctuary, Dunedin City, New Zealand",,,"Orokonui Ecosanctuary, Dunedin City, New Zealand",,,"Orokonui Ecosanctuary, Dunedin City, New Zealand",,,January 8,January 7,January 6,February 1,February 27,70.06,68.08,61.21,71.79,67.6,66,64,50,68,59,75,73,70,79,77,January 3,January 4,January 6,January 21,April 6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,81,82,n/a,n/a,n/a,88,91,n/a,n/a,n/a,37,46,n/a,n/a,n/a,40,21,n/a,n/a,n/a,60.45,65.52,n/a,n/a,n/a,60.19,48.84
Porzana_cinerea,White-browed Crake,47.9,37,28,"McNab and Ellis, 2006",,Gruiformes,Rallidae,Resident,Non,,,"Da Nang, Vietnam",,,"Nan, Thailand",,,"Ninh Bin, Vietnam",,,"Nakhon Sawan, Thailand",,,"Khon Kaen, Thailand",,,"Burdekin, Australia - Queensland",,,"Mackay, Australia - Queensland",,,"Burdekin, Australia - Queensland",,,"Mackay, Australia - Queensland",,,"Derby-West Kimberley, Australia - Western Australia",,,February 25,June 25,November 6,January 17,February 4,no data,79.2,no data,68.64,74.79,no data,75,no data,54,63,no data,86,no data,84,88,November 27,January 10,May 26,November 25,August 15,79.79,81.61,75.52,79.04,68.36,70,73,72,70,59,86,90,82,86,79,no data,n/a,84,97.72,99.42,n/a,89.16,85.6,n/a,87.2,no data,n/a,72.5,78,78,n/a,77.16,73.8,n/a,75,no data,n/a,76.625,88.71,91.95,n/a,80.88,76.68,n/a,79.1
Psittacula_krameri,Rose-ringed Parakeet,123.04,35,20,Thabethe et al. 2013,Summer - Defined as Jun - Jul,Psittaciformes,Psittaculidae,Resident,Non,,**,"West Midlands, Great Britain - England",,,"Hertfordshire, Great Britain - England",,,"London, Great Britain - England",,,"London, Great Britain - England",,,"Mersey Valley, Manchester, Great Britain - England",,,"Gerhardsville, South Africa",,,"Pretoria, South Africa",,,"Rietvlei Nature Reserve, South Africa",,,"Umhlanga Lagoon, South Africa",,,"Irene Country Club, South Africa",,,June 9,June 8,June 30,June 1,June 7,55.4,64.08,65.79,54.74,52.02,43,57,61,54,45,64,72,70,55,59,June 16,July 3,June 4,June 1,July 29,55.71,48.05,56.15,64.39,52.58,37,36,43,52,36,70,61,70,73,70,n/a,84,n/a,n/a,84,n/a,n/a,n/a,n/a,n/a,n/a,64,n/a,n/a,63,n/a,n/a,n/a,n/a,n/a,n/a,72.98,n/a,n/a,72.29,n/a,n/a,n/a,n/a,n/a
Pycnonotus_sinensis,"Chinese Bulbul - (in Ebird as ""Light-vented Bulbul"")",25.6,33,26,Zheng et al. 2008,Summer,Passeriformes,Pycnonotidae,Resident,Non,,**,"Mutianyu Great Wall, China",,,"Goushicao, Xiaolongmen, Beijing,China",,,"Ritan Park, Beijing, China",,,"Gubei creekbed near xinchengzi, China",,,"Nanpu Town General, Binhaizhen, China",,,"Hôi An, Vietnam",,,"Fangshan Township, Taiwan",,,"Pingtung Haifeng Wetland, Taiwan",,,"Kengting Holiday Hotel, Hengchun, Taiwan",,,"Pingtung--Yingda Eco Farm, Taiwan",,,July 18,June 23,June 1,June 27,June 1,82.14,86.14,77.29,79.14,82.1,74,73,61,72,70,89,97,87,83,95,July 17,July 1,July 9,June 29,June 2,87.9,83,87.3,89.25,85.14,79,79,81,86,79,97,90,93,93,90,n/a,103,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,82,86,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,89.63,88,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Spheniscus_humboldti,Peruvian Penguin - (in Ebird as Humboldt Penguin,3870,30,2,"Drent and Stonehouse, 1971",,Sphenisciformes,Spheniscidae,Resident,Non,,,"Zona Reservada Illescas, Piura, Peru",,,"Zona Reservada Illescas, Piura, Peru",,,"Isla Pescadores, Lima District, Peru",,,"Zona Reservada Illescas, Piura, Peru",,,"Callao District, Lima District, Peru",,,"Maiquillahue, Los Rios, Chile",,,"Pucatrihue, San Juan de la Costa, Chile",,,"Colaco playa, Calbuco, Chile",,,"Rio Quenuir, Maullin, Chile",,,"Isla Santa Maria, Coronel, Chile",,,March 15,May 24,March 5,May 19,March 15,83,70.33,79.86,77.63,80.63,74,64,74,68,75,93,85,90,87,90,October 19,January 30,January 24,February 29,September 4,56.65,65.08,76.79,72.58,61.95,50,54,61,55,46,64,85,91,88,79,89.75,87,88,89.5,90.5,81.5,77.5,86,74,76.66,70,68.5,70.8,70.5,73.5,54.5,61.25,66,54.33,53.67,77.34,74.78,76.97,77.6,79.78,64,67.56,71.88,60.91,60.21
Sturnus_sericeus,Silky Starling (in Ebird as Red-billed Starling),69.01,27.5,20,Bao et al. 2014,,Passeriformes,Sturnidae,Resident,Non,,,"Qing Dao, Zhongshan Park, China",,,"China Agricultural Museum, Maizidian Subdistrict, Beijing, China",,,"Zhonghsan Park, Tiananmen, Beijing, China",,,"Temple of Heaven, Beijing, China",,,"Temple of Heaven, Beijing, China",,,"Beijia Harbour, Leizhou, China",,,"Sanya, Hainan, China",,,"Tang Zhui Zhen, China",,,"Sanya, Hainan, China",,,"Lantau South Country Park, Mui Wo, Hong Kong",,,April 12,January 1,March 3,May 13,March 15,58.24,26.77,42.19,61.98,47.93,41,16,27,43,27,73,41,57,77,63,Janaury 26,September 13,November 13,October 21,November 27,39.29,73.54,42.88,51.61,22.54,18,64,28,50,16,41,82,54,54,30,80.6,82.8,85.4,90,84.2,92.5,89.67,82.5,83.5,84,64,67.8,69.2,73.75,67,76,77,74.5,73.5,70,69.86,72.49,76.72,79.44,73.7,80.42,80.76,75.54,75.35,74.96
Aceros_plicatus,Blyth's Hornbill,1597.4,35,16,McNab and Bosque 2001,Males,Bucerotiformes,Bucerotidae,Resident,Non,,,"Tanjong Putus Papua Barat, Indonesia",,,"Sidangoli, Maluku Utara, Indonesia",,,"North Maluku, Jalan Sofifi - Dodinga (0.8091, 127.6838), Indonesia",,,"Jl. Trans Halmahera Hwy, (1.013575, 127.951813), Maluku Utara, Indonesia",,,"Sidangoli, Maluku Utara, Indonesia",,,"Varirata National Park, Port Moresby, Papua New Guinea",,,"Tawali Resort, Milne Bay, Papua New Guinea",,,"Varirata National Park, Port Moresby, Papua New Guinea",,,"Nigila, Milne Bay, Papua New Guinea",,,"Milne Bay Province (-10.266751,150.50144), Papua New Guinea",,,March 6,June 12,August 29,August 2,August 19,79.5,81.6,80,81.8,83.5,77,77,75,77,77,82,89,86,87,90,June 24,April 15,August 9,April 25,October 8,73.9,82,no data,no data,84,75,75,no data,no data,77,84,90,no data,no data,88,n/a,n/a,n/a,n/a,n/a,86.75,86,n/a,85,89.3,n/a,n/a,n/a,n/a,n/a,73.5,74.67,n/a,75,77,n/a,n/a,n/a,n/a,n/a,77.74,78.03,n/a,78.14,81.23
Anas_gracilis,Grey Teal (in Ebird as Gray Teal),393.7,39,30,McNab 2003,,Anseriformes,Anatidae,Migratory,Non,,,"Crowne Plaza, Port Moresby, Papua New Guinea",,,"Lake Hebema, Pondok Tiga, Papua, Indonesia",,,"New Mapoon sweage ponds, Norther Peninsula Area, Queensland, Australia",,,"Saibai Island, Torres Strait Island, Queensland, Australia",,,"Papua New Guinea LNG (-9.3559,147.0306), Papua New Guinea",,,"Greenpoint Domain and Boardwalk, Invercargill City, New Zealand",,,"Bluff Highway, Invercargill City, New Zealand",,,"Invercargill Estuary Shellbanks, Invercargill City, New Zealand",,,"Awarua Bay -- Eastern end, Southland District, New Zealand",,,"Whaler Bay, Sandy Point, Invercargill City, New Zealand",,,September 21,August 13,December 16,March 9,September 28,78.2,79.57,82.69,81.88,81.16,73,77,75,79,79,84,82,91,88,88,March 13,September 22,April 22,April 8,April 1,55.75,51,56.5,52.12,53.8,50,48,50,49,46,60,58,65,57,61,90.5,87,93,91,89,65,72.33,65.5,66.2,63,76,70,77,81,76,51.25,55,48.25,52.6,51.75,81.23,77.06,83.79,83.65,80.79,56.3,61.58,54.19,57.4,56.28
Apteryx_owenii,Little Spotted Kiwi,1190,29,6,McNab 1996,,Apterygiformes,Apterygidae,Resident,Non,,,"Tiritiri Matangi, Rodney District, New Zealand",,,"Taranga Island, Dragon Mouth Cove, Whangarei District, New Zealand",,,"Tiritiri Matangi, Wattle Track, Rodney District, New Zealand",,,"Red Mercury Island, Thames-Cormandel District, New Zealand",,,"Tiritiri Island, Rodney District, New Zealand",,,"Kapiti Island, Kapiti Coast District, New Zealand",,,"Kapiti Island, Kapiti Coast District, New Zealand",,,"Sealers Bay, Chalky Island, Southland District, New Zealand",,,NA,,,"Kapiti Island, Kapiti Coast District, New Zealand",,,January 18,September 27,January 26,March 9,January 3,69.63,54.73,61.57,68.75,65.58,66,50,57,64,57,75,61,66,73,72,March 2,January 14,November 22,NA,January 17,64.98,72.85,64.06,NA,69.52,57,66,57,NA,64,77,81,70,NA,77,81.5,73.5,71.83,n/a,n/a,67,71.2,77,n/a,n/a,68,60.5,61.33,n/a,n/a,59.6,61.2,63.5,n/a,n/a,73.65,65.03,65.26,n/a,n/a,62.38,64.14,66.76,n/a,n/a
Aulacorhynchus_prasinus,Emerald Toucanet (in Ebird as Northern Emerald-Toucanet),174.7,34,23,McNab and Bosque 2001,,Piciformes,Ramphastidae,Resident,Non,,,"San Luis Potosi (21.221,-98.815), Mexico",,,"Sotano de Las Golondrinas, Mexico",,,"Sendero la Campana, Hildago,Mexico",,,"Cacalotepec, Puebla, Mexico",,,"Parque Ecologico El Haya, Veraruz, Mexico",,,"Altos del Maria, Panama",,,"Altos del Maria, Panama",,,"Altos del Maria, Panama",,,"Altos del Maria, Panama",,,"Altos del Maria, Panama",,,August 6,August 27,July 14,December 9,April 19,67.88,75.8,65.75,53.27,67.45,57,64,59,48,50,88,84,77,57,81,January 22,February 2,January 9,March 29,December 7,81.45,82.56,84.43,85.88,85.12,77,75,77,77,79,88,88,91,93,91,99.33,95,94,90,96.6,n/a,n/a,n/a,n/a,n/a,72,72.67,71.25,66,72.6,n/a,n/a,n/a,n/a,n/a,81.68,80.32,79.07,72.72,81.71,n/a,n/a,n/a,n/a,n/a
Aythya_novaeseelandiae,New Zealand Scaup,488.4,33,16,McNab 2003,,Anseriformes,Anatidae,Resident,Non,,,"Mclaren Falls Park, Western Bay of Plenty District, New Zealand",,,"Pouto--Lake Rototuna, Kaipara District, New Zealand",,,"Mangere Wastewaster Treatment Plant, Manukau City, New Zealand",,,"Far North-- Lake Waiporohita, Far North District, New Zealand",,,"Auckland Airport, Manukau City, New Zealand",,,"Waituna Lagoon, Southland District, New Zealand",,,"Daffodil Bay, Sandy Point, Invercargill City, New Zealand",,,"Robson Rd, Clutha District, New Zealand",,,"Te Anau Wildlife Centre, Southland District, New Zealand",,,"Te Anau, Southland District, New Zealand",,,January 12,March 31,January 1,February 21,February 1,70.46,67.65,67.46,70.02,70.73,63,63,59,66,68,79,73,75,75,75,March 5,April 2,November 18,February 6,February 26,65,62.87,43.62,57.12,51.12,58,53,40,51,37,74,74,57,61,65,81.5,n/a,72,n/a,n/a,74.8,n/a,69.5,n/a,n/a,68,n/a,61.67,n/a,n/a,53.2,n/a,51.67,n/a,n/a,73.65,n/a,65.19,n/a,n/a,60.1,n/a,58.85,n/a,n/a
Caloenas_nicobarica,Nicobar Pigeon,613,37,25,McNab 2000,,Columbiformes,Columbidae,Resident,Non,,,"Ulong Island, Palau",,,"Ulong Island, Palau",,,"Lighthouse, South Andaman, Andaman and Nicobar Islands",,,"Great Nicobar Biosphere reserve, Nicobar, Andaman and Nicobar Islands",,,"Great Nicobar Biosphere reserve, Nicobar, Andaman and Nicobar Islands",,,"Tetepare Nature Reserve, Soloman Islands",,,"Kulu River, West New Britain Province, Papua New Guinea",,,"Bukit Lemba, Maluku Utara, Indonesia",,,"Lola Island--Zipolo Habu Resort, Soloman Islands",,,"Weda, Malukua Utara, Indonesia",,,August 8,February 6,December 4,December 7,March 26,83.62,81.95,80.23,81.91,82.87,81,75,77,75,77,88,91,86,88,93,June 13,July 13,July 24,March 7,October 4,80.41,80.7,81.65,82.36,82.29,73,75,73,77,75,90,86,79,91,97,n/a,n/a,93,95,98.5,82,94,88.33,88.4,89,n/a,n/a,79,81,84.5,70,75.5,75.33,77,76,n/a,n/a,84.71,86.32,90.06,73.79,81.04,79.53,80.77,80.79
Dacelo_novaeguineae,Laughing Kookaburra,336,35,20,Buttemer et al. 2003,,Coraciiformes,Alcedinidae,Resident,Non,,,"Merluna Station, Cook, Queensland, Australia",,,"Bamaga, Northern Peninsula Area, Queensland, Australia",,,"Bamaga, Northern Peninsula Area, Queensland, Australia",,,"Weipa, Queensland, Australia",,,"Bamaga, Northern Peninsula Area, Queensland, Australia",,,"Sainty's Creek Cottage, Kingborough, Tasmania, Australia",,,"Cloudy Bay Road, South Bruny Island, Kingborough, Tasmania, Australia",,,"Cloudy Bay Road, South Bruny Island, Kingborough, Tasmania, Australia",,,"Cloudy Bay, Bruny Island, Kingborough, Tasmania, Australia",,,"Inala, Kingborough, Tasmania, Australia",,,June 8,June 16,December 18,October 24,January 31,71.96,73.76,81.83,76.04,81.08,70,66,75,73,77,77,82,91,81,88,April 24,January 2,December 22,September 25,February 19,57.77,61.94,65.83,54.77,65.6,50,54,61,46,61,66,75,75,61,72,86.75,89.75,n/a,93,95,70,85.33,n/a,77,75,73.5,74,n/a,77,79,55,62.67,n/a,55,54.4,77.74,79.8,n/a,83.47,85.42,60.12,71.28,n/a,62.18,62.65
Ducula_pinon,Pinon's Imperial Pigeon,583.8,37,23,McNab 2000,,Columbiformes,Columbidae,Resident,Non,,,"Kari Raja Islands, Papua Barat, Indonesia",,,"Makbon Road, Papua Barat, Indonesia",,,"Waigeo (-0.3031,130.9206), Papua Barat, Indonesia",,,"Nudibranch Homestay, Papua Barat, Indonesia",,,"Reifafeif River, Japen Island, Papua, Indonesia",,,"Mt. Kilkerran river camp, Fergusson Island, Papua New Guinea",,,"Fly River at Drimdenasuk, Papua New Guinea",,,"Obo Station, Papua New Guinea",,,"Vanapa River Lowlands, Kanobaba'a 1, Papua New Guinea",,,NA,,,March 16,August 30,September 11,February 19,October 30,81.5,76,78.12,78.37,80.625,78,73,74,76,76,87,81,85,89,88,August 18,July 7,March 24,July 4,NA,77.85,78.45,88,86.2,NA,72,73,88,73,NA,82,82,88,90,NA,93.5,95.67,95.67,94.33,n/a,90.67,84,87,89,n/a,76.5,81.67,84,80,n/a,75.33,69,74.33,76,n/a,83,87.62,88.36,85.67,n/a,80.61,75.5,78.25,80.7,n/a
Ducula_radiata,Grey-headed Imperial Pigeon (in Ebird as Gray-headed Imperial Pigeon),333.6,37,22,McNab 2000,,Columbiformes,Columbidae,Resident,Non,,,"Bogani Nani Wartabone--Malibagu Road, Sulawesi Utara, Indonesia",,,"Wisma Toraut, Bogani Nani Wartabone National Park, Sulawesi Utara, Indonesia",,,"Wisma Toraut, Bogani Nani Wartabone National Park, Sulawesi Utara, Indonesia",,,"Wisma Toraut, Bogani Nani Wartabone National Park, Sulawesi Utara, Indonesia",,,"Molibagu Road, Bogani Nani Wartabone National Park, Sulawesi Utara, Indonesia",,,NA,,,"Lore Lindu National Park--Anaso Track, Sulawesi Tengah, Indonesia",,,"Karaenta Forest, Sulawesi Selatan, Indonesia",,,NA,,,"Tambing Lake, Lore Lindu National Park, Sulawesi Tengah, Indonesia",,,July 9,September 18,July 17,September 20,August 26,78.08,81,77.65,80,84.33,73,75,73,73,73,91,90,88,93,97,NA,June 24,September 18,NA,August 13,NA,80.3,82,NA,82.5,NA,75,70,NA,72,NA,88,95,NA,93,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Gallinula_tenebrosa,Dusky Moorhen,512.4,36,17,"McNab and Ellis, 2006",,Gruiformes,Rallidae,Resident,Non,,,"Buffalo Creek, Roper Highwy Elsey (-15.0039, 133.2803), Roper Gulf, Northern Territory, Australia",,,"Menggitimbe, Nusa Tenggara Timur, Indonesia",,,"Bandar Udara Umbu Mehang Kunda, Nusa Tenggara Timur, Indonesia",,,"Brown River/ Vanapa River Lowlands, Papua New Guinea",,,"Port Douglas, Cairns, Queensland, Australia",,,"Christmas Hills Raspberry Farm, Meander Valley, Tasmania, Autralia",,,"Rostrevor Lagoon, Glamorgan/Spring Bay, Tasmania, Australia",,,"Goulds Lagoon Wildlife Sanctuary, Glenorchy, Tasmania, Australia",,,"Richmond, Clarence, Tasmania, Australia",,,"Goulds Lagoon Wildlife Sanctuary, Glenorchy, Tasmania, Australia",,,September 16,September 21,October 2,July 4,February 13,81.32,86.32,83.77,82.28,82.94,72,79,77,75,75,90,93,88,90,91,January 12,December 24,January 21,January 7,February 15,58.94,74.39,60.46,63.6,68.59,48,55,50,59,64,66,90,70,72,75,98,96.33,95,94,n/a,80,90,71.2,79.25,n/a,84.33,84,83.33,80.5,n/a,60.4,63,54.8,61.25,n/a,88.55,89,88.28,85.73,n/a,68.44,74.39,61.47,68.09,n/a
Gallinula_ventralis,Black-tailed Native-hen (eBird gives scientific name as Tibonyx ventralis),309.2,40,20,"McNab and Ellis, 2006",,Gruiformes,Rallidae,Resident,Non,,,"Normanton-Floraville Rd, Bynoe River crossing, Carpentaria, Queensland, Australia",,,"Parry Lagoons Nature Reserve--Marglu Billabong, Wyndham-East Kimberley, Western Australia, Australia",,,"Parry Lagoons Nature Reserve--Marglu Billabong, Wyndham-East Kimberley, Western Australia, Australia",,,"Kennedy Creek, Tablelands Highway, Barkly, Northern Territory, Australia",,,"Ilparpa Claypans Crown Land Reserve, Alice Springs, Northern Territory, Australia",,,"Lake Cartcarrong, Moyne, Victoria, Australia",,,"Wingeel Rd, Wingeel (-38.046,143.857) Golden Plains, Victoria, Australia",,,"Cockato Lake, Naracoorte and Lucindale, South Australia, Australia",,,"Mundy Terrace, Robe, South Australia, Australia",,,"Serendip Sanctuary, Greater Geelong, Victoria, Australia",,,November 3,June 30,July 2,January 22,August 30,78.76,71.72,69.63,87.48,82.9,73,57,57,82,79,88,90,88,91,86,May 18,April 29,April 11,January 11,January 1,58.19,50.17,57.39,78.78,73.44,48,37,43,61,61,66,66,66,95,90,93,95,95,n/a,96.33,73,70.5,70.33,n/a,78,77,80,81.75,n/a,82.33,60.33,56.5,54.67,n/a,58.2,82.75,86.49,86.89,n/a,87.3,64.54,60.94,60.57,n/a,66.56
Gallirallus_australis_hectori,Weka,813.5,38,30,"McNab and Ellis, 2006",,Gruiformes,Rallidae,Resident,Non,,,"Ohope Scenic Reserve, Whakatane District, New Zealand",,,"Collingwood Estuary, Tasman District, New Zealand",,,"Opotiki--Hikuwai Beach, Opotiki District, New Zealand",,,"Kawakawa Bay, Manukau City, Auckland, New Zealand",,,"The Tree House, 168 West Coast Road, Motukaraka Hokianga, Kohukohu, New Zealand",,,"Bench Island, Southland District, New Zealand",,,"Bench Island, Southland District, New Zealand",,,"South Passage Island - south-east, Southland District, New Zealand",,,"Fiordland National Park--Milford Sound, Southland District, New Zealand",,,"Fiordland National Park--Milford Sound, Southland District, New Zealand",,,October 6,June 25,December 15,April 22,March 8,56.63,52.55,67.69,63.55,67.65,52,48,57,57,63,61,55,75,72,73,February 9,October 22,November 24,December 31,February 9,70.87,55.5,60.87,54.37,55.12,63,42,55,49,51,79,68,70,60,62,75.33,67,79,71.4,73.5,71.6,81,85,76,87,63,56,66,60.2,60.67,51,59.5,62,55,60,67.63,59.32,70.28,63.74,64.97,59,69.44,69.38,64.5,67.63
Gallirallus_philippensis_assimilis,Australian Banded Rail (in eBird as Buff-banded Rail),173.6,37,28,"McNab and Ellis, 2006",,Gruiformes,Rallidae,Resident,Non,,,"Laoag Bypass Road - Padsan River, Laoag City, Phillipines",,,"Mt. Iraya, Basco, Batanes, Phillipines",,,"Mt. Iraya, Basco, Batanes, Phillipines",,,"Vayang Rolling Hils, Basco, Batanes, Phillipines",,,"Banaue hotel, Banaue, Luzon, Phillipines",,,"Kundy Island, Southland District, New Zealand",,,"Yejele Beach, Mare, New Caledonia",,,"Bethany Park Camp, Tasman District, New Zealand",,,"Port Campbell National Park, Princetown, Corangamite, Victoria, Australia",,,"Heyfield Racecourse Wetlands, Wellington, Victoria, Australia",,,March 27,February 9,February 13,March 17,February 11,81.95,82.5,77.22,81.09,83.57,75,75,72,79,75,91,90,84,93,91,September 4,September 5,December 21,June 14,December 3,43.25,59.88,61.68,50.24,58.42,35,54,52,46,46,52,66,70,57,72,n/a,n/a,n/a,n/a,n/a,80,74,89,77,108,n/a,n/a,n/a,n/a,n/a,57.5,53.5,62,58,73,n/a,n/a,n/a,n/a,n/a,67.94,61.37,74.63,66.33,88.71
Hymenolaimus_malacorhynchos,Blue Duck,717.1,38,12,McNab 2003,,Anseriformes,Anatidae,Resident,Non,,,"Heaphy Track, Kahurangi National Park, Tasman district, New Zealand",,,"61 Celia Street, Stratford, Taranaki, New Zealand",,,"Te Araroa Trail, Pureora Forest Park, Ruapehu District, NZ",,,"Whirinaki Forest Park, Whakatane District, New Zealand",,,"Tongariro River at Turangi (Te Aho Rd), Taupo District, NZ",,,"Lake Thomson Hut, Southland District, New Zealand",,,"Fiordland National Park Lodge, Southland District, New Zealand",,,"Rainbow Reach - Iris Burn, Southland District, NZ",,,"Kepler Track - Iris Burn, Southland District, NZ",,,"Milford Track - Glade Wharf to Clinton Hut, Southland 9679, New Zealand",,,January 8,October 11,November 28,December 29,November 11,72,54.87,65.62,60.75,64.25,63,44,63,56,58,81,61,69,66,72,Janaury 29,July 29,June 5,July 9,February 11,66.12,46,34,32.12,56.75,51,42,28,24,53,80,50,46,40,62,81,71.67,82,75,72,n/a,61.5,67,66,68.4,70,60.67,66,61,62,n/a,49,51,51.25,54,73.25,63.6,70.21,64.38,64.25,n/a,53.62,56.28,57.31,59.4
Leucosarcia_melanoleuca,Wonga Pigeon,466.1,36,24,McNab 2000,,Columbiformes,Columbidae,Resident,Non,,,"Seaview Mountain Retreat (Turkey Beach) Gladstone, Queensland, Australia",,,"Cania Gorge Tourist Retreat, North Burnett, Queensland, AU",,,"Seventeen Seventy, Gladstone, Queensland, AU",,,"Cania Gorge National Park, North Burnett, Queenland, AU  (24.7241,150.9939)",,,"Carmilla Beach, Isaac, Queensland, Australia",,,"Wirilda Environment Park, Latrobe, Victoria, AU",,,"Wirilda Environment Park, Latrobe, Victoria, AU",,,"Metung, East Gippsland, Victoria, AU",,,"Nyermilang Park (-37.87567,147.92822), East Gippsland, Victoria, AU",,,"Rokebby Recreation Reserve, Baw Baw, Victoria, AU",,,October 28,October 20,August 22,November 28,January 8,71.87,70.59,64.41,74.21,74.35,66,63,54,68,64,77,79,73,79,81,March 23,September 8,November 11,April 9,December 30,74.05,49.39,67.17,60.98,75.83,66,37,55,48,54,88,63,82,72,95,91.5,94,88,86,84.5,76.75,75,97.5,77,108,72.5,74,72,75,69.83,62.25,50,67,59.2,73,80.75,81,78,80.62,74.55,67.53,62.83,81.92,65.68,88.71
Podiceps_nigricollis,Eared Grebe,317.4,38.1,15,Ellis and Jehl 2003,,Podicipediformes,Podicipedidae,Migratory,Non,,,"Hornborgasjön--Hångers udde, Sweden",,,"Hornborgasjön--Naturum, Sweden",,,"Frövisjön - Plattformen, Sweden",,,"Hwy 3, Mackenzie River crossing, Northwest Territories, Canada",,,"Wood Buffalo NP--Rocher at Coupe River, Forst McMurray, Alberta, Canada",,,"Lake Michelle, Noordhoek, Capetown, South Africa",,,"De Hoop Nature Reserve, South Africa",,,"Shearwater Apartment, Simon's Town, South Africa",,,"De Hoop Nature Reserve, South Africa",,,"De Hoop Nature Reserve, South Africa",,,April 15,June 5,June 6,June 12,May 21,34.98,52.52,60.17,67.46,63.58,18,39,46,57,37,46,59,70,77,81,October 12,April 19,September 26,January 11,August 7,63.3,56.64,53.04,79.75,52.04,59,52,45,68,39,70,64,61,90,64,78,70.75,72.67,68,80.5,87.33,86,89.67,86.75,74.5,59,56.75,59,53.5,60.5,64,65,64,60.75,55,67.24,62.7,65.08,60.91,71.27,72.43,65.77,73.61,69.53,58.52
