,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
63,97502,observation,1546960500,97502,Sorong,1546948800,N,78,11,1101,Light Rain Shower,1.0,Rising,76,81,93,29.84,3,78,330.0,NNW,,5,88.0,,,,,Low,81,0,,,,,37.5,,,,,,,,,
64,97502,observation,1546971300,97502,Sorong,1546959600,N,80,27,2700,Mostly Cloudy,2.0,Falling,76,85,87,29.83,4,80,30.0,NNE,,3,,,,,,Low,85,0,,,,,37.5,,,,,,,,,
65,97502,observation,1546982100,97502,Sorong,1546970400,N,79,11,1201,Light Rain,2.0,Falling,77,83,93,29.77,3,79,80.0,E,,3,,,,,,Low,83,0,,,,,37.5,,,,,,,,,
66,97502,observation,1546992900,97502,Sorong,1546981200,D,78,11,1201,Light Rain,1.0,Rising,75,79,92,29.81,3,78,30.0,NNE,,5,,,,,,Low,79,0,,,,,37.5,,,,,,,,,
67,97502,observation,1547003700,97502,Sorong,1546992000,D,83,28,2800,Mostly Cloudy,1.0,Rising,77,92,81,29.86,4,83,20.0,NNE,,8,,77.0,0.2,,,Moderate,92,3,,,,,50.0,,,,,,,,,
68,97502,observation,1547014500,97502,Sorong,1547002800,D,84,28,2800,Mostly Cloudy,2.0,Falling,76,93,75,29.82,4,84,20.0,NNE,,9,,,,,,Very High,93,8,,,,,50.0,,,,,,,,,
69,97502,observation,1547025300,97502,Sorong,1547013600,D,87,28,2800,Mostly Cloudy,1.0,Rising,77,98,71,29.75,6,87,360.0,N,,7,,,,,,Moderate,98,4,,,,,50.0,,,,,,,,,
70,97502,observation,1547036100,97502,Sorong,1547024400,D,83,28,2800,Mostly Cloudy,1.0,Rising,77,91,82,29.78,4,83,30.0,NNE,,5,,,,,,Low,91,0,,,,,62.5,,,,,,,,,
71,97502,observation,1547046900,97502,Sorong,1547035200,N,82,27,2700,Mostly Cloudy,1.0,Rising,77,90,84,29.83,3,82,20.0,NNE,,3,89.0,,,,,Low,90,0,,,,,50.0,,,,,,,,,
72,97502,observation,1547057700,97502,Sorong,1547046000,N,82,29,2900,Partly Cloudy,2.0,Falling Rapidly,76,89,84,29.82,3,82,,CALM,,0,,,,,,Low,89,0,,,,,37.5,,,,,,,,,
